CMDLINE /Users/zhewang/anaconda3/envs/py39/bin/python src/julia_set_memory_profiler.py
MEM 0.011719 1626906179.5513
MEM 16.917969 1626906179.6519
MEM 29.425781 1626906179.7524
MEM 41.191406 1626906179.8555
MEM 57.355469 1626906179.9581
MEM 77.148438 1626906180.0632
MEM 116.738281 1626906180.1681
MEM 138.367188 1626906180.2699
MEM 163.453125 1626906180.3710
MEM 166.335938 1626906180.4728
MEM 166.910156 1626906180.5779
MEM 167.250000 1626906180.6830
MEM 167.531250 1626906180.7881
MEM 167.808594 1626906180.8905
MEM 168.046875 1626906180.9944
MEM 168.261719 1626906181.0995
MEM 168.468750 1626906181.2007
MEM 168.667969 1626906181.3058
MEM 168.859375 1626906181.4109
MEM 169.050781 1626906181.5151
MEM 169.210938 1626906181.6153
MEM 169.375000 1626906181.7174
MEM 169.550781 1626906181.8224
MEM 169.726562 1626906181.9275
MEM 169.894531 1626906182.0325
MEM 170.078125 1626906182.1376
MEM 170.238281 1626906182.2403
MEM 170.406250 1626906182.3454
MEM 170.574219 1626906182.4475
MEM 170.750000 1626906182.5517
MEM 170.925781 1626906182.6551
MEM 171.101562 1626906182.7595
MEM 171.269531 1626906182.8604
MEM 171.445312 1626906182.9655
MEM 171.617188 1626906183.0660
MEM 171.792969 1626906183.1711
MEM 171.949219 1626906183.2762
MEM 172.109375 1626906183.3813
MEM 172.257812 1626906183.4849
MEM 172.417969 1626906183.5857
MEM 172.566406 1626906183.6871
MEM 172.726562 1626906183.7902
MEM 172.886719 1626906183.8908
MEM 173.046875 1626906183.9919
MEM 173.210938 1626906184.0938
MEM 173.394531 1626906184.1960
MEM 173.589844 1626906184.2964
MEM 173.808594 1626906184.3987
MEM 174.015625 1626906184.5010
MEM 174.250000 1626906184.6021
MEM 174.492188 1626906184.7026
FUNC __main__.calculate_z_serial_purepython 154.2734 1626906180.3421 178.5391 1626906185.1823 1
FUNC __main__.calc_pure_python 67.1758 1626906180.0366 81.2852 1626906185.2242 0
MEM 174.792969 1626906184.8058
MEM 175.101562 1626906184.9074
MEM 175.503906 1626906185.0098
MEM 176.484375 1626906185.1114
MEM 120.148438 1626906185.2123
MEM 75.464844 1626906185.3134
